sample_id,year,park_or_system,coaster_or_ticket,country,face_price_text,usd_basis,usd_1990,source_quality_note
1,1872,"Mauch Chunk Switchback Railway","Switchback Railway","US","$0.50",0.50,5.27,"Documented historical ride price; rough pre-CPI normalization"
2,1884,"Coney Island","Switchback Railway","US","$0.05",0.05,0.67,"Nickel fare; rough pre-CPI normalization"
3,1924,"Santa Cruz Beach Boardwalk","Giant Dipper","US","$0.15",0.15,1.15,"Opening-era fare"
4,1927,"Coney Island","Cyclone regular day","US","$0.25",0.25,1.88,"Opening fare, regular day"
5,1927,"Coney Island","Cyclone Sunday / holiday","US","$0.35",0.35,2.63,"Opening fare, Sunday or holiday"
6,1959,"Disneyland","Matterhorn Bobsleds as E-ticket attraction","US","$0.50-$0.75",0.625,2.81,"Secondary sources disagree; midpoint used; range would be about $2.25-$3.37 in 1990 USD"
7,1975,"Walt Disney World Magic Kingdom","Space Mountain as E-ticket attraction","US","$0.90",0.90,2.19,"1970s Disney individual E-ticket value"
8,1977,"Disneyland","Space Mountain as E-ticket attraction","US","$0.90",0.90,1.94,"1970s Disney individual E-ticket value"
9,1979,"Disneyland","Big Thunder Mountain Railroad as E-ticket-era coaster","US","~$0.90",0.90,1.62,"Approximate late ticket-book E-ticket value"
10,1980,"Walt Disney World Magic Kingdom","Big Thunder Mountain Railroad as E-ticket-era coaster","US","~$0.90",0.90,1.43,"Approximate late ticket-book E-ticket value"
11,2010,"Wiener Prater","Wilde Maus","Austria","€3.50",4.64,2.78,"Rider/trip-report price; EUR/USD 2010 average used"
12,2010,"Wiener Prater","Der Zug des Manitu","Austria","€1.80",2.39,1.43,"Rider/trip-report price; EUR/USD 2010 average used"
13,2011,"Bay Beach","Zippin Pippin original ticket price basis","US","4 x $0.25 = $1.00",1.00,0.58,"Opening-era basis inferred from later report of increase from 4 tickets to 6 tickets"
14,2012,"Luna Park Melbourne","Single-ride ticket","Australia","A$10.95",11.34,6.46,"2012 visitor source; AUD/USD 2012 average used"
15,2021,"Great Yarmouth Pleasure Beach","Wooden Roller Coaster","UK","5 credits ≈ £5",6.88,3.32,"2021 review price; GBP/USD 2021 average used"
16,2024,"Bay Beach","Zippin Pippin after increase","US","6 x $0.25 = $1.50",1.50,0.63,"Documented 2024 increase"
17,2024,"Santa Cruz Beach Boardwalk","Giant Dipper centennial-era fare","US","$8.00",8.00,3.33,"Centennial-era current fare"
